time,District,Party,Mandates,Percentage,validVotesPercentage,Votes
06/10/2019 18:56,Faro,PTP-MAS,0,0.64,0.67,1220
06/10/2019 18:56,Faro,PURP,0,0.47,0.48,886
06/10/2019 18:56,Faro,PPM,0,0.4,0.41,755
06/10/2019 18:56,Guarda,PPD/PSD.CDS-PP,2,45.59,47.64,38964
06/10/2019 18:56,Guarda,PS,2,33.78,35.29,28868
06/10/2019 18:56,Guarda,B.E.,0,7.42,7.75,6341
06/10/2019 18:56,Guarda,PCP-PEV,0,3.95,4.13,3379
06/10/2019 18:56,Guarda,PDR,0,1.12,1.17,958
06/10/2019 18:56,Guarda,PAN,0,0.85,0.89,725
06/10/2019 18:56,Guarda,PCTP/MRPP,0,0.81,0.84,689
06/10/2019 18:56,Guarda,PNR,0,0.46,0.48,389
06/10/2019 18:56,Guarda,MPT,0,0.35,0.36,298
06/10/2019 18:56,Guarda,L/TDA,0,0.34,0.35,287
06/10/2019 18:56,Guarda,PTP-MAS,0,0.32,0.34,277
06/10/2019 18:56,Guarda,PPM,0,0.25,0.26,211
06/10/2019 18:56,Guarda,NC,0,0.21,0.22,180
06/10/2019 18:56,Guarda,PURP,0,0.17,0.18,144
06/10/2019 18:56,Guarda,JPP,0,0.1,0.1,83
06/10/2019 18:56,Leiria,PPD/PSD.CDS-PP,6,48.42,50.9,115453
06/10/2019 18:56,Leiria,PS,3,24.82,26.09,59184
06/10/2019 18:56,Leiria,B.E.,1,9.66,10.15,23034
06/10/2019 18:56,Leiria,PCP-PEV,0,5.11,5.37,12181
06/10/2019 18:56,Leiria,PDR,0,1.71,1.79,4067
06/10/2019 18:56,Leiria,PAN,0,1.22,1.28,2908
06/10/2019 18:56,Leiria,PCTP/MRPP,0,1.06,1.11,2517
06/10/2019 18:56,Leiria,L/TDA,0,0.75,0.79,1786
06/10/2019 18:56,Leiria,MPT,0,0.5,0.52,1189
06/10/2019 18:56,Leiria,PNR,0,0.45,0.47,1073
06/10/2019 18:56,Leiria,PTP-MAS,0,0.38,0.4,916
06/10/2019 18:56,Leiria,NC,0,0.35,0.37,840
06/10/2019 18:56,Leiria,PPM,0,0.29,0.31,701
06/10/2019 18:56,Leiria,PURP,0,0.26,0.27,612
06/10/2019 18:56,Leiria,JPP,0,0.16,0.16,371
06/10/2019 18:56,Lisboa,PPD/PSD.CDS-PP,18,34.68,35.9,399520
06/10/2019 18:56,Lisboa,PS,18,33.54,34.72,386354
06/10/2019 18:56,Lisboa,B.E.,5,10.89,11.27,125438
06/10/2019 18:56,Lisboa,PCP-PEV,5,9.84,10.19,113406
06/10/2019 18:56,Lisboa,PAN,1,1.96,2.03,22628
06/10/2019 18:56,Lisboa,L/TDA,0,1.27,1.32,14683
06/10/2019 18:56,Lisboa,PCTP/MRPP,0,0.96,1,11083
06/10/2019 18:56,Lisboa,PDR,0,0.89,0.92,10249
06/10/2019 18:56,Lisboa,PNR,0,0.62,0.65,7188
06/10/2019 18:56,Lisboa,MPT,0,0.44,0.46,5078
06/10/2019 18:56,Lisboa,PTP-MAS,0,0.44,0.45,5026
06/10/2019 18:56,Lisboa,PURP,0,0.35,0.36,3999
06/10/2019 18:56,Lisboa,NC,0,0.32,0.34,3737
06/10/2019 18:56,Lisboa,PPM,0,0.24,0.25,2820
06/10/2019 18:56,Lisboa,JPP,0,0.13,0.14,1553
06/10/2019 18:56,Madeira,PPD/PSD,3,37.75,39.2,47228
06/10/2019 18:56,Madeira,PS,2,20.9,21.7,26152
06/10/2019 18:56,Madeira,B.E.,1,10.66,11.07,13342
06/10/2019 18:56,Madeira,JPP,0,6.93,7.2,8671
06/10/2019 18:56,Madeira,CDS-PP,0,6.02,6.25,7536
06/10/2019 18:56,Madeira,PCP-PEV,0,3.57,3.71,4468
06/10/2019 18:56,Madeira,PAN,0,1.76,1.83,2206
06/10/2019 18:56,Madeira,PDR,0,1.71,1.78,2144
06/10/2019 18:56,Madeira,PTP,0,1.4,1.45,1748
06/10/2019 18:56,Madeira,MPT,0,1.36,1.42,1705
06/10/2019 18:56,Madeira,PCTP/MRPP,0,1.27,1.32,1592
06/10/2019 18:56,Madeira,L/TDA,0,1.01,1.05,1260
06/10/2019 18:56,Madeira,NC,0,0.9,0.93,1125
06/10/2019 18:56,Madeira,PNR,0,0.63,0.65,784
06/10/2019 18:56,Madeira,PPM,0,0.42,0.44,528
06/10/2019 18:56,Portalegre,PS,1,42.43,43.94,25037
06/10/2019 18:56,Portalegre,PPD/PSD.CDS-PP,1,27.63,28.61,16303
06/10/2019 18:56,Portalegre,PCP-PEV,0,12.18,12.61,7184
06/10/2019 18:56,Portalegre,B.E.,0,9.2,9.52,5427
06/10/2019 18:56,Portalegre,PCTP/MRPP,0,1.7,1.76,1001
06/10/2019 18:56,Portalegre,PAN,0,0.79,0.81,464
06/10/2019 18:56,Portalegre,PDR,0,0.55,0.57,326
06/10/2019 18:56,Portalegre,PNR,0,0.37,0.38,217
06/10/2019 18:56,Portalegre,PTP-MAS,0,0.34,0.35,198
06/10/2019 18:56,Portalegre,L/TDA,0,0.32,0.33,189
06/10/2019 18:56,Portalegre,PPM,0,0.32,0.33,187
06/10/2019 18:56,Portalegre,MPT,0,0.26,0.27,154
06/10/2019 18:56,Portalegre,PURP,0,0.25,0.26,147
06/10/2019 18:56,Portalegre,NC,0,0.24,0.25,144
06/10/2019 18:56,Porto,PPD/PSD.CDS-PP,17,39.59,41,380043
06/10/2019 18:56,Porto,PS,14,32.72,33.88,314084
06/10/2019 18:56,Porto,B.E.,5,11.14,11.54,106954
06/10/2019 18:56,Porto,PCP-PEV,3,6.83,7.07,65560
06/10/2019 18:56,Porto,PAN,0,1.59,1.65,15295
06/10/2019 18:56,Porto,PDR,0,1.11,1.15,10702
06/10/2019 18:56,Porto,PCTP/MRPP,0,1.07,1.11,10290
06/10/2019 18:56,Porto,L/TDA,0,0.52,0.54,5014
06/10/2019 18:56,Porto,PNR,0,0.49,0.51,4750
06/10/2019 18:56,Porto,MPT,0,0.36,0.37,3449
06/10/2019 18:56,Porto,NC,0,0.29,0.3,2773
06/10/2019 18:56,Porto,PTP-MAS,0,0.29,0.3,2788
06/10/2019 18:56,Porto,PPM,0,0.25,0.26,2392
06/10/2019 18:56,Porto,PURP,0,0.17,0.17,1611
06/10/2019 18:56,Porto,JPP,0,0.13,0.13,1239
06/10/2019 18:56,Santarém,PPD/PSD.CDS-PP,4,35.82,37.32,81544
06/10/2019 18:56,Santarém,PS,3,32.91,34.28,74905
06/10/2019 18:56,Santarém,B.E.,1,10.76,11.21,24489
06/10/2019 18:56,Santarém,PCP-PEV,1,9.64,10.04,21941
06/10/2019 18:56,Santarém,PCTP/MRPP,0,1.34,1.4,3060
06/10/2019 18:56,Santarém,PAN,0,1.19,1.24,2715
06/10/2019 18:56,Santarém,PDR,0,1.04,1.09,2377
06/10/2019 18:56,Santarém,L/TDA,0,0.54,0.57,1236
06/10/2019 18:56,Santarém,PNR,0,0.53,0.55,1206
06/10/2019 18:56,Santarém,MPT,0,0.46,0.48,1038
06/10/2019 18:56,Santarém,NC,0,0.41,0.43,932
06/10/2019 18:56,Santarém,PTP-MAS,0,0.41,0.42,928
06/10/2019 18:56,Santarém,PPM,0,0.36,0.38,822
06/10/2019 18:56,Santarém,PURP,0,0.36,0.38,827
06/10/2019 18:56,Santarém,PPV/CDC,0,0.22,0.22,491
06/10/2019 18:56,Setúbal,PS,7,34.31,35.43,145302
06/10/2019 18:56,Setúbal,PPD/PSD.CDS-PP,5,22.59,23.33,95659
06/10/2019 18:56,Setúbal,PCP-PEV,4,18.8,19.41,79606
06/10/2019 18:56,Setúbal,B.E.,2,13.05,13.48,55276
06/10/2019 18:56,Setúbal,PAN,0,1.93,1.99,8167
06/10/2019 18:56,Setúbal,PCTP/MRPP,0,1.59,1.64,6721
06/10/2019 18:56,Setúbal,L/TDA,0,1.01,1.04,4277
06/10/2019 18:56,Setúbal,PDR,0,0.97,1.01,4124
06/10/2019 18:56,Setúbal,PNR,0,0.63,0.65,2676
06/10/2019 18:56,Setúbal,PTP-MAS,0,0.43,0.44,1807
06/10/2019 18:56,Setúbal,PURP,0,0.4,0.41,1700
06/10/2019 18:56,Setúbal,MPT,0,0.37,0.39,1584
06/10/2019 18:56,Setúbal,NC,0,0.37,0.38,1572
06/10/2019 18:56,Setúbal,PPM,0,0.24,0.25,1024
06/10/2019 18:56,Setúbal,JPP,0,0.13,0.14,561
06/10/2019 18:56,Viana do Castelo,PPD/PSD.CDS-PP,4,45.54,47.52,58509
06/10/2019 18:56,Viana do Castelo,PS,2,29.82,31.12,38309
06/10/2019 18:56,Viana do Castelo,B.E.,0,7.96,8.3,10225
06/10/2019 18:56,Viana do Castelo,PCP-PEV,0,5.23,5.46,6726
06/10/2019 18:56,Viana do Castelo,PDR,0,1.87,1.95,2400
06/10/2019 18:56,Viana do Castelo,PCTP/MRPP,0,0.87,0.9,1113
06/10/2019 18:56,Viana do Castelo,PAN,0,0.85,0.88,1086
06/10/2019 18:56,Viana do Castelo,NC,0,0.81,0.84,1037
06/10/2019 18:56,Viana do Castelo,PTP-MAS,0,0.75,0.78,959
06/10/2019 18:56,Viana do Castelo,PNR,0,0.44,0.45,559
06/10/2019 18:56,Viana do Castelo,PPM,0,0.42,0.43,535
06/10/2019 18:56,Viana do Castelo,L/TDA,0,0.35,0.37,453
06/10/2019 18:56,Viana do Castelo,MPT,0,0.35,0.36,445
06/10/2019 18:56,Viana do Castelo,PPV/CDC,0,0.3,0.32,390
06/10/2019 18:56,Viana do Castelo,PURP,0,0.17,0.17,213
06/10/2019 18:56,Viana do Castelo,JPP,0,0.12,0.13,160
06/10/2019 18:56,Vila Real,PPD/PSD.CDS-PP,3,51.02,52.88,56262
06/10/2019 18:56,Vila Real,PS,2,33.06,34.27,36461
06/10/2019 18:56,Vila Real,B.E.,0,5.18,5.36,5707
06/10/2019 18:56,Vila Real,PCP-PEV,0,2.95,3.05,3250
06/10/2019 18:56,Vila Real,PCTP/MRPP,0,0.91,0.94,1004
06/10/2019 18:56,Vila Real,PDR,0,0.73,0.76,806
06/10/2019 18:56,Vila Real,PAN,0,0.6,0.63,667
06/10/2019 18:56,Vila Real,PTP-MAS,0,0.47,0.49,521
06/10/2019 18:56,Vila Real,L/TDA,0,0.35,0.36,383
06/10/2019 18:56,Vila Real,PPM,0,0.29,0.3,316
06/10/2019 18:56,Vila Real,MPT,0,0.28,0.29,306
06/10/2019 18:56,Vila Real,NC,0,0.25,0.26,281
06/10/2019 18:56,Vila Real,PNR,0,0.25,0.26,279
06/10/2019 18:56,Vila Real,PURP,0,0.14,0.14,151
06/10/2019 18:56,Viseu,PPD/PSD.CDS-PP,6,51.05,53.25,97362
06/10/2019 18:56,Viseu,PS,3,29.65,30.92,56543
06/10/2019 18:56,Viseu,B.E.,0,6.72,7.01,12816
06/10/2019 18:56,Viseu,PCP-PEV,0,3.5,3.65,6668
06/10/2019 18:56,Viseu,PDR,0,1.02,1.07,1952
06/10/2019 18:56,Viseu,PCTP/MRPP,0,0.91,0.95,1743
06/10/2019 18:56,Viseu,PAN,0,0.68,0.71,1296
06/10/2019 18:56,Viseu,L/TDA,0,0.53,0.55,1003
06/10/2019 18:56,Viseu,PTP-MAS,0,0.38,0.39,721
06/10/2019 18:56,Viseu,MPT,0,0.36,0.37,679
06/10/2019 18:56,Viseu,PNR,0,0.32,0.33,608
06/10/2019 18:56,Viseu,NC,0,0.28,0.29,534
06/10/2019 18:56,Viseu,PPM,0,0.28,0.29,533
06/10/2019 18:56,Viseu,PURP,0,0.2,0.21,387
06/10/2019 19:00,Território Nacional,PPD/PSD.CDS-PP,99,36.83,38.24,1981459
06/10/2019 19:00,Território Nacional,PS,85,32.38,33.62,1742012
06/10/2019 19:00,Território Nacional,B.E.,19,10.22,10.61,549878
06/10/2019 19:00,Território Nacional,PCP-PEV,17,8.27,8.59,444955
06/10/2019 19:00,Território Nacional,PPD/PSD,5,1.51,1.56,81054
06/10/2019 19:00,Território Nacional,PAN,1,1.39,1.44,74752
06/10/2019 19:00,Território Nacional,PDR,0,1.13,1.18,60998
06/10/2019 19:00,Território Nacional,PCTP/MRPP,0,1.11,1.15,59838
06/10/2019 19:00,Território Nacional,L/TDA,0,0.72,0.75,39008
06/10/2019 19:00,Território Nacional,PNR,0,0.5,0.52,27141
06/10/2019 19:00,Território Nacional,MPT,0,0.42,0.43,22416
06/10/2019 19:00,Território Nacional,PTP-MAS,0,0.38,0.4,20709
06/10/2019 19:00,Território Nacional,NC,0,0.35,0.36,18722
06/10/2019 19:00,Território Nacional,PPM,0,0.28,0.29,14805
06/10/2019 19:00,Território Nacional,JPP,0,0.26,0.27,14204
06/10/2019 19:00,Território Nacional,PURP,0,0.26,0.27,13764
06/10/2019 19:00,Território Nacional,CDS-PP,0,0.14,0.15,7536
06/10/2019 19:00,Território Nacional,CDS-PP.PPM,0,0.07,0.07,3654
06/10/2019 19:00,Território Nacional,PPV/CDC,0,0.05,0.05,2659
06/10/2019 19:00,Território Nacional,PTP,0,0.03,0.03,1748
06/10/2019 19:00,Açores,PS,3,40.37,42.47,37869
06/10/2019 19:00,Açores,PPD/PSD,2,36.06,37.93,33826
06/10/2019 19:00,Açores,B.E.,0,7.81,8.22,7330
06/10/2019 19:00,Açores,CDS-PP.PPM,0,3.9,4.1,3654
06/10/2019 19:00,Açores,PCP-PEV,0,2.47,2.6,2320
06/10/2019 19:00,Açores,PAN,0,0.87,0.91,815
06/10/2019 19:00,Açores,NC,0,0.82,0.86,766
06/10/2019 19:00,Açores,PCTP/MRPP,0,0.64,0.67,601
06/10/2019 19:00,Açores,PDR,0,0.54,0.57,511
06/10/2019 19:00,Açores,PURP,0,0.37,0.39,346
06/10/2019 19:00,Açores,L/TDA,0,0.35,0.37,332
06/10/2019 19:00,Açores,PTP-MAS,0,0.34,0.36,319
06/10/2019 19:00,Açores,MPT,0,0.32,0.34,299
06/10/2019 19:00,Açores,PNR,0,0.2,0.21,185
06/10/2019 19:00,Aveiro,PPD/PSD.CDS-PP,10,48.14,50.23,177185
06/10/2019 19:00,Aveiro,PS,5,27.91,29.12,102726
06/10/2019 19:00,Aveiro,B.E.,1,9.6,10.01,35327
06/10/2019 19:00,Aveiro,PCP-PEV,0,4.36,4.55,16038
06/10/2019 19:00,Aveiro,PDR,0,1.24,1.29,4548
06/10/2019 19:00,Aveiro,PAN,0,0.97,1.01,3573
06/10/2019 19:00,Aveiro,PCTP/MRPP,0,0.89,0.93,3280
06/10/2019 19:00,Aveiro,PNR,0,0.46,0.48,1698
06/10/2019 19:00,Aveiro,L/TDA,0,0.45,0.47,1660
06/10/2019 19:00,Aveiro,MPT,0,0.36,0.38,1325
06/10/2019 19:00,Aveiro,PPM,0,0.35,0.37,1292
06/10/2019 19:00,Aveiro,PTP-MAS,0,0.34,0.36,1253
06/10/2019 19:00,Aveiro,NC,0,0.27,0.29,1006
06/10/2019 19:00,Aveiro,PPV/CDC,0,0.21,0.22,785
06/10/2019 19:00,Aveiro,PURP,0,0.17,0.18,634
06/10/2019 19:00,Aveiro,JPP,0,0.12,0.13,448
06/10/2019 19:00,Beja,PS,1,37.29,38.51,27775
06/10/2019 19:00,Beja,PCP-PEV,1,24.96,25.78,18592
06/10/2019 19:00,Beja,PPD/PSD.CDS-PP,1,20.11,20.77,14980
06/10/2019 19:00,Beja,B.E.,0,8.2,8.46,6105
06/10/2019 19:00,Beja,PCTP/MRPP,0,2.61,2.7,1945
06/10/2019 19:00,Beja,PAN,0,0.82,0.84,608
06/10/2019 19:00,Beja,PDR,0,0.47,0.49,351
06/10/2019 19:00,Beja,PURP,0,0.46,0.47,340
06/10/2019 19:00,Beja,PNR,0,0.37,0.38,275
06/10/2019 19:00,Beja,L/TDA,0,0.36,0.38,271
06/10/2019 19:00,Beja,MPT,0,0.33,0.34,248
06/10/2019 19:00,Beja,PPM,0,0.26,0.27,192
06/10/2019 19:00,Beja,PTP-MAS,0,0.26,0.27,193
06/10/2019 19:00,Beja,NC,0,0.21,0.22,160
06/10/2019 19:00,Beja,JPP,0,0.12,0.12,88
06/10/2019 19:00,Braga,PPD/PSD.CDS-PP,10,45.61,47.29,216357
06/10/2019 19:00,Braga,PS,7,30.87,32,146412
06/10/2019 19:00,Braga,B.E.,1,8.8,9.12,41745
06/10/2019 19:00,Braga,PCP-PEV,1,5.19,5.38,24632
06/10/2019 19:00,Braga,PDR,0,1.58,1.64,7500
06/10/2019 19:00,Braga,PCTP/MRPP,0,1.15,1.19,5436
06/10/2019 19:00,Braga,PAN,0,0.78,0.8,3682
06/10/2019 19:00,Braga,L/TDA,0,0.49,0.51,2333
06/10/2019 19:00,Braga,PNR,0,0.39,0.4,1836
06/10/2019 19:00,Braga,MPT,0,0.34,0.35,1604
06/10/2019 19:00,Braga,PTP-MAS,0,0.34,0.35,1620
06/10/2019 19:00,Braga,PPV/CDC,0,0.21,0.22,993
06/10/2019 19:00,Braga,NC,0,0.2,0.21,972
06/10/2019 19:00,Braga,PPM,0,0.19,0.19,884
06/10/2019 19:00,Braga,PURP,0,0.19,0.19,878
06/10/2019 19:00,Braga,JPP,0,0.13,0.14,637
06/10/2019 19:00,Bragança,PPD/PSD.CDS-PP,2,49.41,51.32,34408
06/10/2019 19:00,Bragança,PS,1,34.06,35.38,23718
06/10/2019 19:00,Bragança,B.E.,0,5.54,5.75,3858
